estado,regiao,superficie,populacao,densidade
"RO","Norte",237576.167,1453756,6.12
"AC","Norte",164165.250,653385,3.98
"AM","Norte",1559161.810,3221940,2.07
"RR","Norte",224298.980,395725,1.76
"PA","Norte",1247689.515,7065573,5.66
"AP","Norte",142814.585,587311,4.11
"TO","Norte",277620.914,1243627,4.48
"MA","Nordeste",331983.293,6118995,18.43
"PI","Nordeste",251529.186,3032435,12.06
"CE","Nordeste",148825.602,8185250,55.00
"RN","Nordeste",52796.791,3013740,57.08
"PB","Nordeste",56439.838,3641397,64.52
"PE","Nordeste",98311.616,8486638,86.32
"AL","Nordeste",27767.661,3037231,109.38
"SE","Nordeste",21910.348,1939426,88.52
"BA","Nordeste",564692.669,14080670,24.94
"MG","Sudeste",586528.293,19273533,32.86
"ES","Sudeste",46077.519,3351669,72.74
"RJ","Sudeste",43696.054,15420450,352.90
"SP","Sudeste",248209.426,39827690,160.46
"PR","Sul",199314.850,10284503,51.60
"SC","Sul",95346.181,5866487,61.53
"RS","Sul",281748.583,10582287,37.56
"MS","Centro-Oeste",357124.962,2265813,6.34
"MT","Centro-Oeste",903357.908,2854642,3.16
"GO","Centro-Oeste",340086.698,5647035,16.60
"DF","Centro-Oeste",5801.937,2455903,423.29
